Channel,Status,Subs,Total Videos,Total Views,Views Last 30d,Avg Views/Video,Note
Forgotten Lives,Working,394000,407,53800000,505607,132187,"7-year ceiling proof, Template A"
The People Profiles,Working,1670000,419,251000000,3671066,599045,Biggest channel on the list
Lindsay Holiday (History Tea Time),Working,1090000,708,320000000,1879634,451977,"Massive, still actively growing"
Real History,Working,540000,1100,91900000,685155,83545,"General military/war history, not women-specific"
Captivating History,Working,504000,731,71800000,-439202,98222,"Deleted ~133 underperforming videos recently — pruning, not decline"
The Story Bee,Working,181000,325,61800000,339126,190154,"Established, ~190K views/video lifetime avg"
History Exposé,Working,246000,493,41800000,981712,84787,Cross-gender proof the framing works broadly
female_tales,Working,48800,477,51300000,611091,107547,"Direct niche match, Template A"
The Painful Historian,Working,47700,125,9600000,1258554,76800,"1 year old, explosive current growth"
Grim History,Working,51300,54,4070000,178842,75370,"Growing on catalog pull alone, 0 new uploads"
Dynastic Profiles,Working,103000,36,4930000,301312,136944,"Low volume, high quality, ~137K views/video avg"
History Before Sleep,Working,55200,600,5800000,318029,9667,"High volume, steady"
Old Line Power,Working,33500,43,4520000,266165,105116,"1 year old, strong per-video average"
Sleepy History with Oliver,Working,30000,187,2740000,407051,14652,"7 months old, breaking out now, near-daily uploads"
Storytime English,Working,29900,72,1420000,384586,19722,"4 months old, subs up 25% in 30 days"
What They Buried West,Working,11200,61,1080000,919313,17705,"4 months old, closest direct comp"
Civilizations Explained,Working,5420,50,978920,161954,19578,"6 months old, steady climb"
Sneaky Scales,Working,1230,8,126886,25958,15861,"Small, but the controlled-experiment proof"
Brass & Blood,Stalled,30800,216,3660000,27687,16944,"Plateaued, flat for a month"
Heaven Sent Honey,Inconclusive,135000,318,7080000,121412,22264,"Lifestyle-tagged, likely off-niche match"
The Royal Collections,Inconclusive,771,25,137746,2560,5510,Too new/small to judge
Forbidden Historian,Inconclusive,160,8,29004,,3626,"Too small, different angle (scandal, not women)"
Cold Degree,Inconclusive,235,2,96843,,48422,"Pet/lifestyle topic, likely wrong link in original doc"
Mr Bell,Inconclusive,14,1,3651,,3651,"Essentially inactive, too small to judge"
Nightshift (Kurzgesagt After Dark),Not comparable,966000,10,13400000,258718,1340000,"Established studio spinoff, not a from-scratch comp"
History Passion,Failed,229,48,35982,124,750,"Plain titles, zero growth"
GrimoryX,Failed,377,66,34684,149,526,"66 videos, dead flat, second confirmed failure"
,,,,,,,
